t,ax,ay,az,gx,gy,gz,temp
0.082,0.06456,0.023911,9.85856,0.005321,-0.003193,0.005321,26.625
0.083,0.071733,-0.014347,9.832258,0.003193,-0.003193,0,26.375
0.084,0.06456,0.052604,9.848996,0.005321,-0.001064,-0.003193,26.6875
0.085,0.04304,0.009564,9.911165,0.005321,0,0.005321,26.5
0.086,0.052604,0,9.841822,0.00745,-0.002128,0.003193,26.5
0.087,0.088471,0.054996,9.932685,0.006385,0.002128,-0.004257,26.6875
0.088,-0.004782,0.009564,9.860951,0.005321,0.001064,-0.002128,26.375
0.089,0.031084,0.014347,9.92312,0.00745,-0.004257,0.004257,26.5
0.09,-0.031084,0.045431,9.9016,0.001064,-0.002128,0,26.625
0.091,0.02152,0.028693,9.868125,0.00745,-0.001064,0.002128,26.6875
0.092,-0.002391,0.02152,9.872907,0.006385,-0.008514,0.004257,26.6875
0.093,-0.014347,0.031084,9.81552,0,0.004257,0.001064,26.5
0.094,0.038258,0.016738,9.786827,0,0.002128,0.006385,26.375
0.095,0.028693,0.026302,9.784436,0.002128,0,0.003193,26.5
0.096,0.081298,-0.011956,9.875298,0.008514,-0.009578,-0.003193,26.5
0.097,0.081298,0.011956,9.839431,0.005321,-0.002128,0.002128,26.3125
0.098,0.119556,0.002391,9.882471,0.009578,-0.006385,0.006385,26.625
0.099,0.045431,0.026302,9.825084,0.006385,0.002128,0.008514,26.6875
0.1,0.054996,-0.02152,9.882471,0.005321,-0.003193,0.003193,26.625
0.101,0.040649,-0.02152,9.925511,0.004257,-0.002128,0.005321,26.5625
0.102,0.047822,0,9.887253,0.006385,0,-0.004257,26.3125
0.103,-0.002391,0.066951,9.877689,0.00745,0.001064,-0.003193,26.3125
0.104,0.011956,0.059778,9.839431,0.001064,-0.003193,0.001064,26.625
0.105,0.011956,0.06456,9.889645,0.003193,-0.004257,0,26.5625
0.106,0.016738,0.031084,9.896818,0.001064,0.002128,0.004257,26.4375
0.107,0.045431,0.002391,9.83704,0.003193,-0.00745,-0.005321,26.5
0.108,0.026302,0.019129,9.896818,0.005321,-0.001064,0.001064,26.5625
0.109,0.009564,0.016738,9.805956,0.005321,-0.004257,0.005321,26.625
0.11,0.023911,-0.038258,9.841822,-0.001064,0.001064,0,26.6875
0.111,0.033476,0.014347,9.827476,0.001064,-0.003193,0.004257,26.5
0.112,0.054996,0.009564,9.844213,0.006385,-0.002128,-0.003193,26.3125
0.113,0.06456,0.045431,9.856169,0.009578,-0.001064,0.002128,26.5
0.114,0.054996,0.035867,9.851387,0.005321,0.002128,0.003193,26.6875
0.115,0.081298,0.04304,9.894427,0.004257,-0.002128,-0.001064,26.5625
0.116,0.057387,-0.019129,9.875298,0.004257,-0.002128,0,26.4375
0.117,0.016738,0.016738,9.906382,0.002128,-0.002128,0.008514,26.6875
0.118,0.011956,0.033476,9.908773,0.004257,-0.005321,-0.002128,26.5625
0.119,0.016738,0.002391,9.887253,0,-0.004257,0.003193,26.5625
0.12,-0.019129,0.062169,9.839431,0.001064,-0.004257,0.005321,26.375
0.121,0.004782,0.004782,9.868125,0,-0.003193,-0.001064,26.5
0.122,0.014347,0.031084,9.839431,0.001064,0,0.005321,26.75
0.123,0.02152,0.045431,9.817911,-0.005321,-0.002128,0.005321,26.625
0.124,0.023911,0.08608,9.860951,0.004257,-0.001064,0.003193,26.5625
0.125,-0.02152,0.033476,9.906382,0.006385,-0.008514,0.005321,26.5625
0.126,0.004782,0.033476,9.875298,0.008514,0,0.002128,26.6875
0.127,0.007173,0.04304,9.894427,0.005321,-0.002128,-0.002128,26.75
0.128,0.047822,0.045431,9.870516,0.001064,0,0.005321,26.5625
0.129,0.016738,0.04304,9.801173,0.004257,-0.00745,-0.001064,26.4375
0.13,0.02152,0.040649,9.846604,0.006385,0.003193,0.001064,26.5625
0.131,0.066951,-0.033476,9.794,0.003193,-0.002128,0.003193,26.5625
0.132,0.04304,0.062169,9.920729,0.00745,-0.008514,0.001064,26.375
0.133,0.019129,-0.011956,9.863342,0.002128,-0.005321,0.002128,26.5
0.134,0.069342,0.014347,9.860951,0.00745,-0.003193,0,26.3125
0.135,0.047822,0.014347,9.875298,0.002128,-0.004257,0.002128,26.4375
0.136,0.023911,-0.009564,9.88008,0.004257,0,0.002128,26.5625
0.137,0.031084,0.031084,9.925511,0.005321,-0.004257,-0.002128,26.5
0.138,0.019129,-0.002391,9.877689,0,0.004257,-0.004257,26.625
0.139,0.023911,0.074125,9.903991,0,-0.005321,0.002128,26.5625
0.14,-0.009564,0.040649,9.846604,0.004257,-0.004257,0.002128,26.5
0.141,-0.014347,0.076516,9.892036,0.004257,-0.004257,0,26.375
0.142,0.057387,0.016738,9.88008,0.002128,-0.002128,0.003193,26.5
0.143,0.045431,0.040649,9.798782,0.001064,-0.006385,0.012771,26.625
0.144,0.06456,-0.011956,9.810738,0.004257,-0.003193,0.006385,26.4375
0.145,0.026302,-0.002391,9.758133,0.006385,0.003193,0.002128,26.4375
0.146,0.040649,-0.004782,9.827476,0.003193,0,0.008514,26.6875
0.147,0.090862,-0.011956,9.872907,0.005321,-0.005321,0.006385,26.4375
0.148,0.062169,0.02152,9.894427,0.003193,0.001064,0.002128,26.4375
0.149,0.083689,-0.007173,9.863342,0.002128,-0.008514,0.008514,26.375
0.15,0.057387,0.019129,9.9016,0.004257,-0.005321,0.00745,26.5
0.151,0.06456,-0.011956,9.958987,0.00745,0,0.00745,26.5625
0.152,0.040649,0.002391,9.908773,0.001064,-0.001064,-0.003193,26.625
0.153,0.011956,0.007173,9.887253,0.00745,-0.002128,0,26.5
0.154,0.050213,0.076516,9.978116,-0.001064,0.001064,-0.003193,26.6875
0.155,0.02152,0.038258,9.853778,0.003193,-0.003193,0.002128,26.4375
0.156,-0.050213,0.004782,9.882471,0.00745,-0.002128,0,26.6875
0.157,-0.02152,0.047822,9.853778,0.002128,-0.002128,0.005321,26.375
0.158,-0.02152,0.007173,9.848996,-0.002128,-0.003193,-0.004257,26.4375
0.159,0.035867,0.033476,9.856169,0.006385,0.001064,0.003193,26.375
0.16,0.023911,0.038258,9.801173,0.001064,-0.008514,0.002128,26.625
0.161,0.002391,0.023911,9.839431,0.003193,-0.004257,0.004257,26.625
0.162,0.035867,0.019129,9.784436,0.001064,-0.004257,0.001064,26.4375
0.163,0.038258,0.007173,9.915947,0.00745,-0.003193,-0.005321,26.5625
0.164,0.057387,-0.02152,9.872907,0.010642,-0.004257,0.004257,26.5625
0.165,0.04304,0.007173,9.863342,0.003193,0.003193,0.003193,26.25
0.166,0.054996,0.035867,9.920729,0.009578,-0.004257,0.003193,26.6875
